system:time_start,Uttaranchal
"Jul 1, 1981",0.537
"Jul 16, 1981",0.48
"Aug 1, 1981",0.489
"Aug 16, 1981",0.615
"Sep 1, 1981",0.626
"Sep 16, 1981",0.615
"Oct 1, 1981",0.652
"Oct 16, 1981",0.617
"Nov 1, 1981",0.543
"Nov 16, 1981",0.608
"Dec 1, 1981",0.555
"Dec 16, 1981",0.542
"Jan 1, 1982",0.505
"Jan 16, 1982",0.495
"Feb 1, 1982",0.492
"Feb 16, 1982",0.487
"Mar 1, 1982",0.445
"Mar 16, 1982",0.476
"Apr 1, 1982",0.447
"Apr 16, 1982",0.435
"May 1, 1982",0.444
"May 16, 1982",0.478
"Jun 1, 1982",0.468
"Jun 16, 1982",0.512
"Jul 1, 1982",0.537
"Jul 16, 1982",0.463
"Aug 1, 1982",0.513
"Aug 16, 1982",0.495
"Sep 1, 1982",0.6
"Sep 16, 1982",0.629
"Oct 1, 1982",0.626
"Oct 16, 1982",0.613
"Nov 1, 1982",0.486
"Nov 16, 1982",0.516
"Dec 1, 1982",0.488
"Dec 16, 1982",0.463
"Jan 1, 1983",0.338
"Jan 16, 1983",0.427
"Feb 1, 1983",0.425
"Feb 16, 1983",0.455
"Mar 1, 1983",0.487
"Mar 16, 1983",0.443
"Apr 1, 1983",0.374
"Apr 16, 1983",0.428
"May 1, 1983",0.471
"May 16, 1983",0.512
"Jun 1, 1983",0.563
"Jun 16, 1983",0.547
"Jul 1, 1983",0.624
"Jul 16, 1983",0.569
"Aug 1, 1983",0.535
"Aug 16, 1983",0.503
"Sep 1, 1983",0.558
"Sep 16, 1983",0.584
"Oct 1, 1983",0.713
"Oct 16, 1983",0.648
"Nov 1, 1983",0.596
"Nov 16, 1983",0.508
"Dec 1, 1983",0.52
"Dec 16, 1983",0.516
"Jan 1, 1984",0.451
"Jan 16, 1984",0.455
"Feb 1, 1984",0.48
"Feb 16, 1984",0.456
"Mar 1, 1984",0.461
"Mar 16, 1984",0.428
"Apr 1, 1984",0.371
"Apr 16, 1984",0.35
"May 1, 1984",0.454
"May 16, 1984",0.405
"Jun 1, 1984",0.431
"Jun 16, 1984",0.413
"Jul 1, 1984",0.524
"Jul 16, 1984",0.435
"Aug 1, 1984",0.604
"Aug 16, 1984",0.54
"Sep 1, 1984",0.619
"Sep 16, 1984",0.613
"Oct 1, 1984",0.632
"Oct 16, 1984",0.565
"Nov 1, 1984",0.513
"Nov 16, 1984",0.451
"Dec 1, 1984",0.471
"Dec 16, 1984",0.499
"Jan 1, 1985",0.473
"Jan 16, 1985",0.453
"Feb 1, 1985",0.434
"Feb 16, 1985",0.416
"Mar 1, 1985",0.426
"Mar 16, 1985",0.412
"Apr 1, 1985",0.455
"Apr 16, 1985",0.449
"May 1, 1985",0.455
"May 16, 1985",0.458
"Jun 1, 1985",0.42
"Jun 16, 1985",0.469
"Jul 1, 1985",0.394
"Jul 16, 1985",0.425
"Aug 1, 1985",0.56
"Aug 16, 1985",0.47
"Sep 1, 1985",0.615
"Sep 16, 1985",0.614
"Oct 1, 1985",0.538
"Oct 16, 1985",0.664
"Nov 1, 1985",0.597
"Nov 16, 1985",0.589
"Dec 1, 1985",0.552
"Dec 16, 1985",0.505
"Jan 1, 1986",0.498
"Jan 16, 1986",0.467
"Feb 1, 1986",0.497
"Feb 16, 1986",0.531
"Mar 1, 1986",0.458
"Mar 16, 1986",0.474
"Apr 1, 1986",0.465
"Apr 16, 1986",0.441
"May 1, 1986",0.49
"May 16, 1986",0.514
"Jun 1, 1986",0.551
"Jun 16, 1986",0.481
"Jul 1, 1986",0.434
"Jul 16, 1986",0.398
"Aug 1, 1986",0.575
"Aug 16, 1986",0.575
"Sep 1, 1986",0.611
"Sep 16, 1986",0.608
"Oct 1, 1986",0.571
"Oct 16, 1986",0.623
"Nov 1, 1986",0.634
"Nov 16, 1986",0.558
"Dec 1, 1986",0.516
"Dec 16, 1986",0.475
"Jan 1, 1987",0.474
"Jan 16, 1987",0.502
"Feb 1, 1987",0.503
"Feb 16, 1987",0.463
"Mar 1, 1987",0.458
"Mar 16, 1987",0.471
"Apr 1, 1987",0.465
"Apr 16, 1987",0.444
"May 1, 1987",0.437
"May 16, 1987",0.538
"Jun 1, 1987",0.527
"Jun 16, 1987",0.537
"Jul 1, 1987",0.477
"Jul 16, 1987",0.489
"Aug 1, 1987",0.527
"Aug 16, 1987",0.583
"Sep 1, 1987",0.545
"Sep 16, 1987",0.622
"Oct 1, 1987",0.636
"Oct 16, 1987",0.618
"Nov 1, 1987",0.606
"Nov 16, 1987",0.567
"Dec 1, 1987",0.481
"Dec 16, 1987",0.516
"Jan 1, 1988",0.408
"Jan 16, 1988",0.488
"Feb 1, 1988",0.43
"Feb 16, 1988",0.417
"Mar 1, 1988",0.432
"Mar 16, 1988",0.451
"Apr 1, 1988",0.387
"Apr 16, 1988",0.388
"May 1, 1988",0.501
"May 16, 1988",0.493
"Jun 1, 1988",0.463
"Jun 16, 1988",0.456
"Jul 1, 1988",0.491
"Jul 16, 1988",0.485
"Aug 1, 1988",0.538
"Aug 16, 1988",0.62
"Sep 1, 1988",0.53
"Sep 16, 1988",0.603
"Oct 1, 1988",0.659
"Oct 16, 1988",0.559
"Nov 1, 1988",0.614
"Nov 16, 1988",0.606
"Dec 1, 1988",0.593
"Dec 16, 1988",0.495
"Jan 1, 1989",0.472
"Jan 16, 1989",0.501
"Feb 1, 1989",0.531
"Feb 16, 1989",0.492
"Mar 1, 1989",0.517
"Mar 16, 1989",0.463
"Apr 1, 1989",0.36
"Apr 16, 1989",0.341
"May 1, 1989",0.395
"May 16, 1989",0.464
"Jun 1, 1989",0.525
"Jun 16, 1989",0.487
"Jul 1, 1989",0.52
"Jul 16, 1989",0.566
"Aug 1, 1989",0.61
"Aug 16, 1989",0.538
"Sep 1, 1989",0.645
"Sep 16, 1989",0.596
"Oct 1, 1989",0.679
"Oct 16, 1989",0.624
"Nov 1, 1989",0.612
"Nov 16, 1989",0.59
"Dec 1, 1989",0.537
"Dec 16, 1989",0.547
"Jan 1, 1990",0.559
"Jan 16, 1990",0.525
"Feb 1, 1990",0.51
"Feb 16, 1990",0.465
"Mar 1, 1990",0.511
"Mar 16, 1990",0.423
"Apr 1, 1990",0.486
"Apr 16, 1990",0.495
"May 1, 1990",0.462
"May 16, 1990",0.521
"Jun 1, 1990",0.545
"Jun 16, 1990",0.462
"Jul 1, 1990",0.516
"Jul 16, 1990",0.506
"Aug 1, 1990",0.553
"Aug 16, 1990",0.618
"Sep 1, 1990",0.601
"Sep 16, 1990",0.623
"Oct 1, 1990",0.715
"Oct 16, 1990",0.657
"Nov 1, 1990",0.654
"Nov 16, 1990",0.591
"Dec 1, 1990",0.594
"Dec 16, 1990",0.558
"Jan 1, 1991",0.488
"Jan 16, 1991",0.505
"Feb 1, 1991",0.51
"Feb 16, 1991",0.501
"Mar 1, 1991",0.512
"Mar 16, 1991",0.489
"Apr 1, 1991",0.418
"Apr 16, 1991",0.492
"May 1, 1991",0.486
"May 16, 1991",0.463
"Jun 1, 1991",0.506
"Jun 16, 1991",0.585
"Jul 1, 1991",0.472
"Jul 16, 1991",0.48
"Aug 1, 1991",0.537
"Aug 16, 1991",0.502
"Sep 1, 1991",0.519
"Sep 16, 1991",0.658
"Oct 1, 1991",0.68
"Oct 16, 1991",0.588
"Nov 1, 1991",0.59
"Nov 16, 1991",0.558
"Dec 1, 1991",0.492
"Dec 16, 1991",0.431
"Jan 1, 1992",0.453
"Jan 16, 1992",0.451
"Feb 1, 1992",0.455
"Feb 16, 1992",0.489
"Mar 1, 1992",0.463
"Mar 16, 1992",0.42
"Apr 1, 1992",0.387
"Apr 16, 1992",0.373
"May 1, 1992",0.468
"May 16, 1992",0.444
"Jun 1, 1992",0.466
"Jun 16, 1992",0.488
"Jul 1, 1992",0.483
"Jul 16, 1992",0.53
"Aug 1, 1992",0.628
"Aug 16, 1992",0.586
"Sep 1, 1992",0.615
"Sep 16, 1992",0.659
"Oct 1, 1992",0.651
"Oct 16, 1992",0.572
"Nov 1, 1992",0.528
"Nov 16, 1992",0.483
"Dec 1, 1992",0.5
"Dec 16, 1992",0.452
"Jan 1, 1993",0.42
