date,ndvi
1981-07-01,0.537
1981-07-16,0.48
1981-08-01,0.489
1981-08-16,0.615
1981-09-01,0.626
1981-09-16,0.615
1981-10-01,0.652
1981-10-16,0.617
1981-11-01,0.543
1981-11-16,0.608
1981-12-01,0.555
1981-12-16,0.542
1982-01-01,0.505
1982-01-16,0.495
1982-02-01,0.492
1982-02-16,0.487
1982-03-01,0.445
1982-03-16,0.476
1982-04-01,0.447
1982-04-16,0.435
1982-05-01,0.444
1982-05-16,0.478
1982-06-01,0.468
1982-06-16,0.512
1982-07-01,0.537
1982-07-16,0.463
1982-08-01,0.513
1982-08-16,0.495
1982-09-01,0.6
1982-09-16,0.629
1982-10-01,0.626
1982-10-16,0.613
1982-11-01,0.486
1982-11-16,0.516
1982-12-01,0.488
1982-12-16,0.463
1983-01-01,0.338
1983-01-16,0.427
1983-02-01,0.425
1983-02-16,0.455
1983-03-01,0.487
1983-03-16,0.443
1983-04-01,0.374
1983-04-16,0.428
1983-05-01,0.471
1983-05-16,0.512
1983-06-01,0.563
1983-06-16,0.547
1983-07-01,0.624
1983-07-16,0.569
1983-08-01,0.535
1983-08-16,0.503
1983-09-01,0.558
1983-09-16,0.584
1983-10-01,0.713
1983-10-16,0.648
1983-11-01,0.596
1983-11-16,0.508
1983-12-01,0.52
1983-12-16,0.516
1984-01-01,0.451
1984-01-16,0.455
1984-02-01,0.48
1984-02-16,0.456
1984-03-01,0.461
1984-03-16,0.428
1984-04-01,0.371
1984-04-16,0.35
1984-05-01,0.454
1984-05-16,0.405
1984-06-01,0.431
1984-06-16,0.413
1984-07-01,0.524
1984-07-16,0.435
1984-08-01,0.604
1984-08-16,0.54
1984-09-01,0.619
1984-09-16,0.613
1984-10-01,0.632
1984-10-16,0.565
1984-11-01,0.513
1984-11-16,0.451
1984-12-01,0.471
1984-12-16,0.499
1985-01-01,0.473
1985-01-16,0.453
1985-02-01,0.434
1985-02-16,0.416
1985-03-01,0.426
1985-03-16,0.412
1985-04-01,0.455
1985-04-16,0.449
1985-05-01,0.455
1985-05-16,0.458
1985-06-01,0.42
1985-06-16,0.469
1985-07-01,0.394
1985-07-16,0.425
1985-08-01,0.56
1985-08-16,0.47
1985-09-01,0.615
1985-09-16,0.614
1985-10-01,0.538
1985-10-16,0.664
1985-11-01,0.597
1985-11-16,0.589
1985-12-01,0.552
1985-12-16,0.505
1986-01-01,0.498
1986-01-16,0.467
1986-02-01,0.497
1986-02-16,0.531
1986-03-01,0.458
1986-03-16,0.474
1986-04-01,0.465
1986-04-16,0.441
1986-05-01,0.49
1986-05-16,0.514
1986-06-01,0.551
1986-06-16,0.481
1986-07-01,0.434
1986-07-16,0.398
1986-08-01,0.575
1986-08-16,0.575
1986-09-01,0.611
1986-09-16,0.608
1986-10-01,0.571
1986-10-16,0.623
1986-11-01,0.634
1986-11-16,0.558
1986-12-01,0.516
1986-12-16,0.475
1987-01-01,0.474
1987-01-16,0.502
