system:time_start,undefined
"Jan 1, 2009",0.373
"Jan 2, 2009",0.296
"Jan 3, 2009",0.442
"Jan 4, 2009",0.476
"Jan 5, 2009",0.386
"Jan 6, 2009",0.302
"Jan 7, 2009",0.227
"Jan 8, 2009",0.252
"Jan 9, 2009",0.214
"Jan 10, 2009",0.255
"Jan 11, 2009",0.194
"Jan 12, 2009",0.199
"Jan 13, 2009",0.233
"Jan 14, 2009",0.207
"Jan 15, 2009",0.239
"Jan 16, 2009",0.497
"Jan 17, 2009",0.594
"Jan 18, 2009",0.509
"Jan 19, 2009",0.251
"Jan 20, 2009",0.232
"Jan 21, 2009",0.431
"Jan 22, 2009",0.433
"Jan 23, 2009",0.33
"Jan 24, 2009",0.511
"Jan 25, 2009",0.513
"Jan 26, 2009",0.306
"Jan 27, 2009",0.204
"Jan 28, 2009",0.24
"Jan 29, 2009",0.301
"Jan 30, 2009",0.188
"Jan 31, 2009",0.274
"Feb 1, 2009",0.22
"Feb 2, 2009",0.245
"Feb 3, 2009",0.178
"Feb 4, 2009",0.204
"Feb 5, 2009",0.188
"Feb 6, 2009",0.159
"Feb 7, 2009",0.202
"Feb 8, 2009",0.147
"Feb 9, 2009",0.253
"Feb 10, 2009",0.476
"Feb 11, 2009",0.732
"Feb 12, 2009",0.309
"Feb 13, 2009",0.329
"Feb 14, 2009",0.348
"Feb 15, 2009",0.233
"Feb 16, 2009",0.278
"Feb 17, 2009",0.311
"Feb 18, 2009",0.281
"Feb 19, 2009",0.213
"Feb 20, 2009",0.323
"Feb 21, 2009",0.24
"Feb 22, 2009",0.222
"Feb 23, 2009",0.276
"Feb 24, 2009",0.354
"Feb 25, 2009",0.282
"Feb 26, 2009",0.224
"Feb 27, 2009",0.254
"Feb 28, 2009",0.203
"Mar 1, 2009",0.168
"Mar 2, 2009",0.209
"Mar 3, 2009",0.159
"Mar 4, 2009",0.408
"Mar 5, 2009",0.182
"Mar 6, 2009",0.226
"Mar 7, 2009",0.211
"Mar 8, 2009",0.223
"Mar 9, 2009",0.195
"Mar 10, 2009",0.256
"Mar 11, 2009",0.227
"Mar 12, 2009",0.159
"Mar 13, 2009",0.216
"Mar 14, 2009",0.161
"Mar 15, 2009",0.254
"Mar 16, 2009",0.185
"Mar 17, 2009",0.242
"Mar 18, 2009",0.203
"Mar 19, 2009",0.222
"Mar 20, 2009",0.426
"Mar 21, 2009",0.437
"Mar 22, 2009",0.341
"Mar 23, 2009",0.239
"Mar 24, 2009",0.209
"Mar 25, 2009",0.615
"Mar 26, 2009",0.326
"Mar 27, 2009",0.401
"Mar 28, 2009",0.244
"Mar 29, 2009",0.632
"Mar 30, 2009",0.228
"Mar 31, 2009",0.232
"Apr 1, 2009",0.202
"Apr 2, 2009",0.394
"Apr 3, 2009",0.273
"Apr 4, 2009",0.171
"Apr 5, 2009",0.217
"Apr 6, 2009",0.409
"Apr 7, 2009",0.275
"Apr 8, 2009",0.414
"Apr 9, 2009",0.452
"Apr 10, 2009",0.224
"Apr 11, 2009",0.18
"Apr 12, 2009",0.232
"Apr 13, 2009",0.175
"Apr 14, 2009",0.223
"Apr 15, 2009",0.211
"Apr 16, 2009",0.381
"Apr 17, 2009",0.193
"Apr 18, 2009",0.162
"Apr 19, 2009",0.208
"Apr 20, 2009",0.162
"Apr 21, 2009",0.286
"Apr 22, 2009",0.287
"Apr 23, 2009",0.223
"Apr 24, 2009",0.181
"Apr 25, 2009",0.185
"Apr 26, 2009",0.191
"Apr 27, 2009",0.166
"Apr 28, 2009",0.202
"Apr 29, 2009",0.18
"Apr 30, 2009",0.188
"May 1, 2009",0.159
"May 2, 2009",0.32
"May 3, 2009",0.235
"May 4, 2009",0.265
"May 5, 2009",0.281
"May 6, 2009",0.229
"May 7, 2009",0.258
"May 8, 2009",0.179
"May 9, 2009",0.361
"May 10, 2009",0.43
"May 11, 2009",0.354
"May 12, 2009",0.257
"May 13, 2009",0.284
"May 14, 2009",0.25
"May 15, 2009",0.242
"May 16, 2009",0.257
"May 17, 2009",0.254
"May 18, 2009",0.208
"May 19, 2009",0.265
"May 20, 2009",0.181
"May 21, 2009",0.223
"May 22, 2009",0.205
"May 23, 2009",0.204
"May 24, 2009",0.215
"May 25, 2009",0.358
"May 26, 2009",0.178
"May 27, 2009",0.238
"May 28, 2009",0.246
"May 29, 2009",0.331
"May 30, 2009",0.63
"May 31, 2009",0.211
"Jun 1, 2009",0.272
"Jun 2, 2009",0.168
"Jun 3, 2009",0.184
"Jun 4, 2009",0.179
"Jun 5, 2009",0.189
"Jun 6, 2009",0.185
"Jun 7, 2009",0.148
"Jun 8, 2009",0.175
"Jun 9, 2009",0.14
"Jun 10, 2009",0.173
"Jun 11, 2009",0.218
"Jun 12, 2009",0.178
"Jun 13, 2009",0.21
"Jun 14, 2009",0.194
"Jun 15, 2009",0.241
"Jun 16, 2009",0.377
"Jun 17, 2009",0.18
"Jun 18, 2009",0.151
"Jun 19, 2009",0.169
"Jun 20, 2009",0.17
"Jun 21, 2009",0.126
"Jun 22, 2009",0.167
"Jun 23, 2009",0.112
"Jun 24, 2009",0.156
"Jun 25, 2009",0.152
"Jun 26, 2009",0.35
"Jun 27, 2009",0.213
"Jun 28, 2009",0.408
"Jun 29, 2009",0.445
"Jun 30, 2009",0.366
"Jul 1, 2009",0.582
"Jul 2, 2009",0.28
