system:time_start,Uttaranchal
"Jan 1, 1993",0.009
"Jan 2, 1993",0.002
"Jan 3, 1993",0.002
"Jan 4, 1993",0.001
"Jan 5, 1993",0.003
"Jan 6, 1993",0.017
"Jan 7, 1993",0.022
"Jan 8, 1993",0.002
"Jan 9, 1993",0
"Jan 10, 1993",0.003
"Jan 11, 1993",0.002
"Jan 12, 1993",0.001
"Jan 13, 1993",0
"Jan 14, 1993",0
"Jan 15, 1993",0.003
"Jan 16, 1993",0.011
"Jan 17, 1993",0
"Jan 18, 1993",0
"Jan 19, 1993",0
"Jan 20, 1993",0.001
"Jan 21, 1993",0.001
"Jan 22, 1993",0
"Jan 23, 1993",0
"Jan 24, 1993",0
"Jan 25, 1993",0
"Jan 26, 1993",0
"Jan 27, 1993",0
"Jan 28, 1993",0.003
"Jan 29, 1993",0.004
"Jan 30, 1993",0.004
"Jan 31, 1993",0.002
"Feb 1, 1993",0
"Feb 2, 1993",0
"Feb 3, 1993",0
"Feb 4, 1993",0
"Feb 5, 1993",0
"Feb 6, 1993",0
"Feb 7, 1993",0
"Feb 8, 1993",0
"Feb 9, 1993",0
"Feb 10, 1993",0
"Feb 11, 1993",0
"Feb 12, 1993",0
"Feb 13, 1993",0
"Feb 14, 1993",0
"Feb 15, 1993",0.003
"Feb 16, 1993",0.008
"Feb 17, 1993",0.008
"Feb 18, 1993",0.005
"Feb 19, 1993",0.003
"Feb 20, 1993",0.002
"Feb 21, 1993",0.002
"Feb 22, 1993",0.001
"Feb 23, 1993",0.002
"Feb 24, 1993",0.018
"Feb 25, 1993",0.02
"Feb 26, 1993",0.026
"Feb 27, 1993",0.002
"Feb 28, 1993",0.009
"Mar 1, 1993",0.002
"Mar 2, 1993",0
"Mar 3, 1993",0
"Mar 4, 1993",0
"Mar 5, 1993",0
"Mar 6, 1993",0.001
"Mar 7, 1993",0
"Mar 8, 1993",0
"Mar 9, 1993",0.002
"Mar 10, 1993",0.001
"Mar 11, 1993",0.006
"Mar 12, 1993",0.012
"Mar 13, 1993",0.007
"Mar 14, 1993",0.013
"Mar 15, 1993",0.001
"Mar 16, 1993",0
"Mar 17, 1993",0
"Mar 18, 1993",0.002
"Mar 19, 1993",0.003
"Mar 20, 1993",0.003
"Mar 21, 1993",0.008
"Mar 22, 1993",0.01
"Mar 23, 1993",0.03
"Mar 24, 1993",0.029
"Mar 25, 1993",0.016
"Mar 26, 1993",0.006
"Mar 27, 1993",0
"Mar 28, 1993",0
"Mar 29, 1993",0.001
"Mar 30, 1993",0.001
"Mar 31, 1993",0.002
"Apr 1, 1993",0.001
"Apr 2, 1993",0.001
"Apr 3, 1993",0
"Apr 4, 1993",0
"Apr 5, 1993",0
"Apr 6, 1993",0
"Apr 7, 1993",0.002
"Apr 8, 1993",0.003
"Apr 9, 1993",0.002
"Apr 10, 1993",0.001
"Apr 11, 1993",0.004
"Apr 12, 1993",0.006
"Apr 13, 1993",0.003
"Apr 14, 1993",0.003
"Apr 15, 1993",0
"Apr 16, 1993",0
"Apr 17, 1993",0
"Apr 18, 1993",0
"Apr 19, 1993",0
"Apr 20, 1993",0.001
"Apr 21, 1993",0
"Apr 22, 1993",0.001
"Apr 23, 1993",0.001
"Apr 24, 1993",0.001
"Apr 25, 1993",0.001
"Apr 26, 1993",0.002
"Apr 27, 1993",0
"Apr 28, 1993",0.001
"Apr 29, 1993",0.001
"Apr 30, 1993",0.001
"May 1, 1993",0
"May 2, 1993",0.001
"May 3, 1993",0.001
"May 4, 1993",0
"May 5, 1993",0
"May 6, 1993",0
"May 7, 1993",0.001
"May 8, 1993",0.006
"May 9, 1993",0.009
"May 10, 1993",0.004
"May 11, 1993",0.002
"May 12, 1993",0.001
"May 13, 1993",0
"May 14, 1993",0
"May 15, 1993",0.001
"May 16, 1993",0.002
"May 17, 1993",0.006
"May 18, 1993",0.004
"May 19, 1993",0.002
"May 20, 1993",0.001
"May 21, 1993",0
"May 22, 1993",0
"May 23, 1993",0.001
"May 24, 1993",0.001
"May 25, 1993",0.001
"May 26, 1993",0.004
"May 27, 1993",0.005
"May 28, 1993",0.007
"May 29, 1993",0.009
"May 30, 1993",0.003
"May 31, 1993",0.003
"Jun 1, 1993",0.004
"Jun 2, 1993",0.001
"Jun 3, 1993",0.001
"Jun 4, 1993",0.002
"Jun 5, 1993",0.002
"Jun 6, 1993",0.002
"Jun 7, 1993",0.002
"Jun 8, 1993",0.006
"Jun 9, 1993",0.007
"Jun 10, 1993",0.003
"Jun 11, 1993",0.004
"Jun 12, 1993",0.004
"Jun 13, 1993",0.015
"Jun 14, 1993",0.016
"Jun 15, 1993",0.005
"Jun 16, 1993",0.006
"Jun 17, 1993",0.004
"Jun 18, 1993",0.004
"Jun 19, 1993",0.003
"Jun 20, 1993",0.002
"Jun 21, 1993",0.002
"Jun 22, 1993",0.011
"Jun 23, 1993",0.016
"Jun 24, 1993",0.017
"Jun 25, 1993",0.008
"Jun 26, 1993",0.003
"Jun 27, 1993",0.005
"Jun 28, 1993",0.005
"Jun 29, 1993",0.007
"Jun 30, 1993",0.001
"Jul 1, 1993",0.005
"Jul 2, 1993",0.006
"Jul 3, 1993",0.006
"Jul 4, 1993",0.008
"Jul 5, 1993",0.004
"Jul 6, 1993",0.006
"Jul 7, 1993",0.018
"Jul 8, 1993",0.005
"Jul 9, 1993",0.006
"Jul 10, 1993",0.015
"Jul 11, 1993",0.012
"Jul 12, 1993",0.008
"Jul 13, 1993",0.007
"Jul 14, 1993",0.016
"Jul 15, 1993",0.034
"Jul 16, 1993",0.017
"Jul 17, 1993",0.022
"Jul 18, 1993",0.007
"Jul 19, 1993",0.006
"Jul 20, 1993",0.006
"Jul 21, 1993",0.013
"Jul 22, 1993",0.05
"Jul 23, 1993",0.006
"Jul 24, 1993",0.001
"Jul 25, 1993",0.007
"Jul 26, 1993",0.004
"Jul 27, 1993",0.007
"Jul 28, 1993",0.006
"Jul 29, 1993",0.006
"Jul 30, 1993",0.007
"Jul 31, 1993",0.006
"Aug 1, 1993",0.015
"Aug 2, 1993",0.019
"Aug 3, 1993",0.01
"Aug 4, 1993",0.009
"Aug 5, 1993",0.014
"Aug 6, 1993",0.017
"Aug 7, 1993",0.009
"Aug 8, 1993",0.009
"Aug 9, 1993",0.005
"Aug 10, 1993",0.005
"Aug 11, 1993",0.005
"Aug 12, 1993",0.007
"Aug 13, 1993",0.001
"Aug 14, 1993",0.003
"Aug 15, 1993",0.005
"Aug 16, 1993",0.008
"Aug 17, 1993",0.007
"Aug 18, 1993",0.009
"Aug 19, 1993",0.006
"Aug 20, 1993",0.004
"Aug 21, 1993",0.002
"Aug 22, 1993",0.003
"Aug 23, 1993",0.01
"Aug 24, 1993",0.013
"Aug 25, 1993",0.019
"Aug 26, 1993",0.006
"Aug 27, 1993",0.004
"Aug 28, 1993",0.004
"Aug 29, 1993",0.006
"Aug 30, 1993",0.02
"Aug 31, 1993",0.029
"Sep 1, 1993",0.004
"Sep 2, 1993",0.01
"Sep 3, 1993",0.021
"Sep 4, 1993",0.057
"Sep 5, 1993",0.077
"Sep 6, 1993",0.029
"Sep 7, 1993",0.01
"Sep 8, 1993",0.005
"Sep 9, 1993",0.008
"Sep 10, 1993",0.008
"Sep 11, 1993",0.032
"Sep 12, 1993",0.088
"Sep 13, 1993",0.013
"Sep 14, 1993",0.002
"Sep 15, 1993",0.003
"Sep 16, 1993",0.003
"Sep 17, 1993",0.002
"Sep 18, 1993",0.003
"Sep 19, 1993",0.003
"Sep 20, 1993",0.002
"Sep 21, 1993",0.003
"Sep 22, 1993",0.004
"Sep 23, 1993",0.007
"Sep 24, 1993",0.006
"Sep 25, 1993",0.006
"Sep 26, 1993",0.003
"Sep 27, 1993",0.001
"Sep 28, 1993",0.001
"Sep 29, 1993",0.001
"Sep 30, 1993",0
"Oct 1, 1993",0
"Oct 2, 1993",0
"Oct 3, 1993",0
"Oct 4, 1993",0.001
"Oct 5, 1993",0.003
"Oct 6, 1993",0.001
"Oct 7, 1993",0
"Oct 8, 1993",0
"Oct 9, 1993",0
"Oct 10, 1993",0.001
"Oct 11, 1993",0.001
"Oct 12, 1993",0
"Oct 13, 1993",0
"Oct 14, 1993",0
"Oct 15, 1993",0
"Oct 16, 1993",0
"Oct 17, 1993",0
"Oct 18, 1993",0.001
"Oct 19, 1993",0
"Oct 20, 1993",0
"Oct 21, 1993",0
"Oct 22, 1993",0
"Oct 23, 1993",0
"Oct 24, 1993",0
"Oct 25, 1993",0
"Oct 26, 1993",0
"Oct 27, 1993",0
"Oct 28, 1993",0
"Oct 29, 1993",0
"Oct 30, 1993",0
"Oct 31, 1993",0
"Nov 1, 1993",0.001
"Nov 2, 1993",0
"Nov 3, 1993",0.001
"Nov 4, 1993",0.001
"Nov 5, 1993",0.001
"Nov 6, 1993",0.004
"Nov 7, 1993",0.001
"Nov 8, 1993",0.002
"Nov 9, 1993",0
"Nov 10, 1993",0
"Nov 11, 1993",0
"Nov 12, 1993",0
"Nov 13, 1993",0
"Nov 14, 1993",0
"Nov 15, 1993",0.001
"Nov 16, 1993",0.001
"Nov 17, 1993",0
"Nov 18, 1993",0.002
"Nov 19, 1993",0
"Nov 20, 1993",0
"Nov 21, 1993",0
"Nov 22, 1993",0
"Nov 23, 1993",0
"Nov 24, 1993",0
"Nov 25, 1993",0
"Nov 26, 1993",0
"Nov 27, 1993",0
"Nov 28, 1993",0
"Nov 29, 1993",0
"Nov 30, 1993",0
"Dec 1, 1993",0
"Dec 2, 1993",0
"Dec 3, 1993",0
"Dec 4, 1993",0
"Dec 5, 1993",0
"Dec 6, 1993",0
"Dec 7, 1993",0
"Dec 8, 1993",0
"Dec 9, 1993",0
"Dec 10, 1993",0
"Dec 11, 1993",0
"Dec 12, 1993",0
"Dec 13, 1993",0
"Dec 14, 1993",0
"Dec 15, 1993",0
"Dec 16, 1993",0
"Dec 17, 1993",0
"Dec 18, 1993",0.002
"Dec 19, 1993",0
"Dec 20, 1993",0
"Dec 21, 1993",0
"Dec 22, 1993",0
"Dec 23, 1993",0
"Dec 24, 1993",0
"Dec 25, 1993",0
"Dec 26, 1993",0
"Dec 27, 1993",0
"Dec 28, 1993",0.004
"Dec 29, 1993",0
"Dec 30, 1993",0
"Dec 31, 1993",0
"Jan 1, 1994",0.001
"Jan 2, 1994",0.001
"Jan 3, 1994",0.001
"Jan 4, 1994",0.002
"Jan 5, 1994",0.002
"Jan 6, 1994",0
"Jan 7, 1994",0
"Jan 8, 1994",0
"Jan 9, 1994",0
"Jan 10, 1994",0.001
"Jan 11, 1994",0.009
"Jan 12, 1994",0.018
"Jan 13, 1994",0.001
"Jan 14, 1994",0.007
"Jan 15, 1994",0.021
"Jan 16, 1994",0.001
"Jan 17, 1994",0.001
"Jan 18, 1994",0.002
"Jan 19, 1994",0.001
"Jan 20, 1994",0
"Jan 21, 1994",0
"Jan 22, 1994",0
"Jan 23, 1994",0
"Jan 24, 1994",0.001
"Jan 25, 1994",0.003
"Jan 26, 1994",0.002
"Jan 27, 1994",0.005
"Jan 28, 1994",0.005
"Jan 29, 1994",0.015
"Jan 30, 1994",0.001
"Jan 31, 1994",0.002
"Feb 1, 1994",0.003
"Feb 2, 1994",0
"Feb 3, 1994",0.001
"Feb 4, 1994",0.004
"Feb 5, 1994",0.002
"Feb 6, 1994",0
"Feb 7, 1994",0.005
"Feb 8, 1994",0.02
"Feb 9, 1994",0.001
"Feb 10, 1994",0.002
"Feb 11, 1994",0.005
"Feb 12, 1994",0.001
"Feb 13, 1994",0.003
"Feb 14, 1994",0.002
"Feb 15, 1994",0.001
"Feb 16, 1994",0.004
"Feb 17, 1994",0.001
"Feb 18, 1994",0
"Feb 19, 1994",0
"Feb 20, 1994",0.013
"Feb 21, 1994",0.038
"Feb 22, 1994",0.001
"Feb 23, 1994",0
"Feb 24, 1994",0
"Feb 25, 1994",0
"Feb 26, 1994",0.004
"Feb 27, 1994",0.002
"Feb 28, 1994",0
"Mar 1, 1994",0
"Mar 2, 1994",0.001
"Mar 3, 1994",0.004
"Mar 4, 1994",0.002
"Mar 5, 1994",0
"Mar 6, 1994",0
"Mar 7, 1994",0.002
"Mar 8, 1994",0
"Mar 9, 1994",0
"Mar 10, 1994",0
"Mar 11, 1994",0.001
"Mar 12, 1994",0
"Mar 13, 1994",0.001
"Mar 14, 1994",0.006
"Mar 15, 1994",0
"Mar 16, 1994",0
"Mar 17, 1994",0
"Mar 18, 1994",0
"Mar 19, 1994",0.003
"Mar 20, 1994",0.001
"Mar 21, 1994",0.002
"Mar 22, 1994",0
"Mar 23, 1994",0
"Mar 24, 1994",0
