system:time_start,Uttaranchal
"Jan 1, 1987",271.61
"Jan 2, 1987",271.468
"Jan 3, 1987",272.27
"Jan 4, 1987",272.814
"Jan 5, 1987",273.253
"Jan 6, 1987",272.627
"Jan 7, 1987",272.542
"Jan 8, 1987",271.997
"Jan 9, 1987",272.639
"Jan 10, 1987",272.558
"Jan 11, 1987",273.724
"Jan 12, 1987",273.367
"Jan 13, 1987",274.27
"Jan 14, 1987",272.457
"Jan 15, 1987",273.85
"Jan 16, 1987",273.979
"Jan 17, 1987",273.857
"Jan 18, 1987",273.528
"Jan 19, 1987",272.801
"Jan 20, 1987",273.586
"Jan 21, 1987",273.072
"Jan 22, 1987",271.954
"Jan 23, 1987",272.474
"Jan 24, 1987",272.727
"Jan 25, 1987",273.875
"Jan 26, 1987",274.651
"Jan 27, 1987",275.597
"Jan 28, 1987",275.752
"Jan 29, 1987",274.875
"Jan 30, 1987",274.486
"Jan 31, 1987",274.781
"Feb 1, 1987",273.632
"Feb 2, 1987",273.315
"Feb 3, 1987",272.867
"Feb 4, 1987",272.871
"Feb 5, 1987",275.251
"Feb 6, 1987",276.615
"Feb 7, 1987",275.953
"Feb 8, 1987",274.922
"Feb 9, 1987",274.825
"Feb 10, 1987",276.208
"Feb 11, 1987",277.992
"Feb 12, 1987",278.965
"Feb 13, 1987",278.049
"Feb 14, 1987",278.492
"Feb 15, 1987",276.404
"Feb 16, 1987",275.408
"Feb 17, 1987",274.838
"Feb 18, 1987",273.58
"Feb 19, 1987",275.751
"Feb 20, 1987",276.39
"Feb 21, 1987",276.039
"Feb 22, 1987",276.715
"Feb 23, 1987",277.338
"Feb 24, 1987",278.105
"Feb 25, 1987",277.512
"Feb 26, 1987",276.556
"Feb 27, 1987",275.276
"Feb 28, 1987",274.632
"Mar 1, 1987",276.149
"Mar 2, 1987",277.324
"Mar 3, 1987",276.973
"Mar 4, 1987",278.067
"Mar 5, 1987",278.591
"Mar 6, 1987",279.183
"Mar 7, 1987",278.911
"Mar 8, 1987",277.876
"Mar 9, 1987",277.499
"Mar 10, 1987",277.352
"Mar 11, 1987",276.546
"Mar 12, 1987",277.605
"Mar 13, 1987",277.28
"Mar 14, 1987",278.632
"Mar 15, 1987",281.053
"Mar 16, 1987",281.175
"Mar 17, 1987",280.122
"Mar 18, 1987",279.853
"Mar 19, 1987",280.29
"Mar 20, 1987",279.144
"Mar 21, 1987",279.893
"Mar 22, 1987",278.295
"Mar 23, 1987",280.36
"Mar 24, 1987",281.115
"Mar 25, 1987",282.883
"Mar 26, 1987",281.186
"Mar 27, 1987",281.079
"Mar 28, 1987",283.278
"Mar 29, 1987",283.666
"Mar 30, 1987",283.628
"Mar 31, 1987",283.892
"Apr 1, 1987",284.344
"Apr 2, 1987",283.909
"Apr 3, 1987",282.479
"Apr 4, 1987",282.498
"Apr 5, 1987",282.563
"Apr 6, 1987",284.598
"Apr 7, 1987",286.08
"Apr 8, 1987",282.727
"Apr 9, 1987",281.489
"Apr 10, 1987",280.401
"Apr 11, 1987",279.972
"Apr 12, 1987",280.097
"Apr 13, 1987",280.412
"Apr 14, 1987",280.573
"Apr 15, 1987",281.772
"Apr 16, 1987",283.121
"Apr 17, 1987",284.122
"Apr 18, 1987",284.625
"Apr 19, 1987",285.156
"Apr 20, 1987",286.065
"Apr 21, 1987",287.156
"Apr 22, 1987",287.242
"Apr 23, 1987",286.244
"Apr 24, 1987",283.405
"Apr 25, 1987",282.52
"Apr 26, 1987",282.653
"Apr 27, 1987",284.523
"Apr 28, 1987",285.185
"Apr 29, 1987",285.009
"Apr 30, 1987",283.697
"May 1, 1987",281.845
"May 2, 1987",279.91
"May 3, 1987",280.119
"May 4, 1987",281.158
